"","Municipio","distrito","section","prioridad","prediccion"
"1","ACONCHI",4,260001,"Media alta",34.5267728180502
"2","ACONCHI",4,260002,"Media baja",27.2986875810307
"3","AGUA PRIETA",2,260003,"Media alta",31.5107830414662
"4","AGUA PRIETA",2,260004,"Baja",31.9378770276986
"5","AGUA PRIETA",2,260005,"Media baja",36.2746324286065
"6","AGUA PRIETA",2,260006,"Media alta",37.9529078775242
"7","AGUA PRIETA",2,260007,"Media alta",37.0444974598433
"8","AGUA PRIETA",2,260008,"Alta",34.5267804834883
"9","AGUA PRIETA",2,260009,"Alta",31.3353847403542
"10","AGUA PRIETA",2,260010,"Alta",36.218585349621
"11","AGUA PRIETA",2,260011,"Media alta",32.4850489746333
"12","AGUA PRIETA",2,260012,"Media alta",34.5387317024225
"13","AGUA PRIETA",2,260013,"Media baja",32.7045596686242
"14","AGUA PRIETA",2,260014,"Alta",29.3905140562086
"15","AGUA PRIETA",2,260015,"Media baja",32.0339447582451
"16","AGUA PRIETA",2,260016,"Media baja",25.2875524839627
"17","AGUA PRIETA",2,260017,"Alta",22.761410749516
"18","AGUA PRIETA",2,260018,"Media alta",26.8517046844649
"19","AGUA PRIETA",2,260019,"Alta",27.8388101706496
"20","AGUA PRIETA",2,260020,"Alta",27.6841838212464
"21","AGUA PRIETA",2,260021,"Alta",31.3896777477718
"22","AGUA PRIETA",2,260022,"Alta",27.7316721056705
"23","AGUA PRIETA",2,260023,"Alta",25.6593809571779
"24","AGUA PRIETA",2,260024,"Alta",25.2607497715704
"25","AGUA PRIETA",2,260025,"Alta",27.9417368260802
"26","AGUA PRIETA",2,260026,"Alta",20.2265117304757
"27","AGUA PRIETA",2,260027,"Baja",23.1574723178192
"28","AGUA PRIETA",2,260028,"Baja",19.0212455634717
"29","AGUA PRIETA",2,260031,"Alta",28.8201687941391
"30","AGUA PRIETA",2,260032,"Baja",25.4241554937588
"31","ALAMOS",7,261109,"Alta",21.1467211719704
"32","ALAMOS",7,261110,"Media alta",16.9192845553629
"33","ALAMOS",7,261111,"Media alta",26.4700607232704
"34","ALAMOS",7,261112,"Media alta",27.319564749324
"35","ALAMOS",7,261113,"Media baja",-6.95557229862801
"36","ALAMOS",7,261114,"Baja",-11.2515013626148
"37","ALAMOS",7,261115,"Media baja",24.1716671559106
"38","ALAMOS",7,261117,"Baja",22.5336855263943
"39","ALAMOS",7,261118,"Baja",20.9559129145594
"40","ALAMOS",7,261122,"Media baja",23.664334090997
"41","ALAMOS",7,261124,"Media alta",23.8266442685649
"42","ALAMOS",7,261125,"Media baja",22.1193930097087
"43","ALAMOS",7,261126,"Baja",11.4474472169122
"44","ALAMOS",7,261129,"Baja",20.0268447084276
"45","ALAMOS",7,261130,"Media baja",20.6136111463691
"46","ALAMOS",7,261131,"Media baja",25.2094703264603
"47","ALAMOS",7,261133,"Media baja",24.8486726550052
"48","ALAMOS",7,261134,"Media baja",16.4380285535734
"49","ALAMOS",7,261136,"Baja",25.8610307047425
"50","ALAMOS",7,261137,"Media baja",25.7317737765499
"51","ALTAR",1,260034,"Media alta",25.4697410670765
"52","ALTAR",1,260035,"Alta",29.1632496174649
"53","ALTAR",1,260037,"Baja",20.4445087478969
"54","ALTAR",1,261362,"Media baja",23.6004388612635
"55","ALTAR",1,261363,"Media baja",21.856742164073
"56","ALTAR",1,261364,"Media baja",25.5861719404084
"57","ALTAR",1,261365,"Media baja",23.1079264266049
"58","ARIVECHI",4,260038,"Media baja",37.0061064746352
"59","ARIVECHI",4,260040,"Baja",35.7465747468188
"60","ARIZPE",2,260041,"Media baja",34.5298449988976
"61","ARIZPE",2,260042,"Media alta",34.0036609939334
"62","ARIZPE",2,260043,"Media baja",33.4166295884563
"63","ARIZPE",2,260044,"Media baja",30.5652902090581
"64","ATIL",1,260046,"Media alta",36.221046141644
"65","BACADEHUACHI",4,260047,"Alta",35.9939869164666
"66","BACERAC",4,260052,"Media alta",31.5242019503423
"67","BACOACHI",2,260054,"Media alta",39.235423695845
"68","BACOACHI",2,260055,"Baja",37.779201470546
"69","BACUM",4,260760,"Alta",28.3803521126821
"70","BACUM",4,260761,"Alta",24.8785055580553
